12:02:07.027 ->   Timestamp | Background value | Measured value | Final value 
12:04:53.444 ->  0000166618 |                0 |            691 |      0.6748
12:04:53.913 ->  0000167118 |                0 |            692 |      0.6758
12:04:54.428 ->  0000167618 |                0 |            692 |      0.6758
12:04:54.954 ->  0000168118 |                0 |            690 |      0.6738
12:04:55.423 ->  0000168619 |                0 |            691 |      0.6748
12:04:55.938 ->  0000169119 |                0 |            692 |      0.6758
12:04:56.455 ->  0000169619 |                0 |            690 |      0.6738
12:04:56.925 ->  0000170120 |                0 |            692 |      0.6758
12:04:57.441 ->  0000170620 |                0 |            693 |      0.6768
12:04:57.910 ->  0000171120 |                0 |            691 |      0.6748
12:04:58.426 ->  0000171620 |                0 |            692 |      0.6758
12:04:58.941 ->  0000172121 |                0 |            692 |      0.6758
12:04:59.456 ->  0000172621 |                0 |            691 |      0.6748
12:04:59.925 ->  0000173121 |                0 |            691 |      0.6748
12:05:00.440 ->  0000173621 |                0 |            692 |      0.6758
12:05:00.956 ->  0000174121 |                0 |            691 |      0.6748
12:05:01.425 ->  0000174620 |                0 |            693 |      0.6768
12:05:01.937 ->  0000175120 |                0 |            692 |      0.6758
12:05:02.452 ->  0000175621 |                0 |            692 |      0.6758
12:05:02.921 ->  0000176120 |                0 |            691 |      0.6748
12:05:03.436 ->  0000176620 |                0 |            692 |      0.6758
12:05:03.905 ->  0000177120 |                0 |            691 |      0.6748
12:05:04.420 ->  0000177619 |                0 |            692 |      0.6758
12:05:04.936 ->  0000178119 |                0 |            691 |      0.6748
12:05:05.451 ->  0000178619 |                0 |            692 |      0.6758
12:05:05.908 ->  0000179119 |                0 |            692 |      0.6758
12:05:06.424 ->  0000179619 |                0 |            693 |      0.6768
12:05:06.939 ->  0000180119 |                0 |            692 |      0.6758
12:05:07.408 ->  0000180619 |                0 |            692 |      0.6758
12:05:07.923 ->  0000181120 |                0 |            692 |      0.6758
12:05:08.439 ->  0000181620 |                0 |            692 |      0.6758
12:05:08.954 ->  0000182120 |                0 |            692 |      0.6758
12:05:09.420 ->  0000182621 |                0 |            691 |      0.6748
12:05:09.916 ->  0000183121 |                0 |            691 |      0.6748
12:05:10.432 ->  0000183621 |                0 |            691 |      0.6748
12:05:10.948 ->  0000184121 |                0 |            692 |      0.6758
12:05:11.419 ->  0000184622 |                0 |            691 |      0.6748
12:05:11.935 ->  0000185122 |                0 |            690 |      0.6738
