i1	V(n008)
2.398832919019381e-02	1.379661e+00
2.435940447291916e-02	1.380517e+00
2.473621991638508e-02	1.381377e+00
2.511886431509465e-02	1.382242e+00
2.550742783711242e-02	1.383112e+00
2.590200204531205e-02	1.383987e+00
2.630267991895261e-02	1.384868e+00
2.670955587558862e-02	1.385753e+00
2.712272579331903e-02	1.386643e+00
2.754228703338039e-02	1.387539e+00
2.796833846308948e-02	1.388440e+00
2.840098047914084e-02	1.389347e+00
2.884031503126473e-02	1.390259e+00
2.928644564625101e-02	1.391177e+00
2.973947745234468e-02	1.392100e+00
3.019951720401876e-02	1.393030e+00
3.066667330713040e-02	1.393965e+00
3.114105584446614e-02	1.394906e+00
3.162277660168232e-02	1.395853e+00
3.211194909364673e-02	1.396807e+00
3.260868859118781e-02	1.397766e+00
3.311311214825757e-02	1.398732e+00
3.362533862951469e-02	1.399705e+00
3.414548873833442e-02	1.400684e+00
3.467368504525153e-02	1.401670e+00
3.521005201684354e-02	1.402662e+00
3.575471604506045e-02	1.403661e+00
3.630780547700842e-02	1.404668e+00
3.686945064519401e-02	1.405681e+00
3.743978389823634e-02	1.406702e+00
3.801893963205432e-02	1.407730e+00
3.860705432153630e-02	1.408765e+00
3.920426655269966e-02	1.409808e+00
3.981071705534783e-02	1.410858e+00
4.042654873623250e-02	1.411917e+00
4.105190671272883e-02	1.412983e+00
4.168693834703154e-02	1.414057e+00
4.233179328088005e-02	1.415139e+00
4.298662347082070e-02	1.416230e+00
4.365158322401450e-02	1.417329e+00
4.432682923459875e-02	1.418436e+00
4.501252062061119e-02	1.419552e+00
4.570881896148529e-02	1.420677e+00
4.641588833612554e-02	1.421811e+00
4.713389536157176e-02	1.422954e+00
4.786300923226151e-02	1.424106e+00
4.860340175989981e-02	1.425267e+00
4.935524741394565e-02	1.426438e+00
5.011872336272478e-02	1.427618e+00
5.089400951517840e-02	1.428809e+00
5.168128856325781e-02	1.430009e+00
5.248074602497468e-02	1.431219e+00
5.329257028811742e-02	1.432439e+00
5.411695265464370e-02	1.433670e+00
5.495408738575974e-02	1.434912e+00
5.580417174769689e-02	1.436164e+00
5.666740605819632e-02	1.437427e+00
5.754399373371284e-02	1.438701e+00
5.843414133734886e-02	1.439986e+00
5.933805862752985e-02	1.441283e+00
6.025595860743278e-02	1.442591e+00
6.118805757517914e-02	1.443911e+00
6.213457517480447e-02	1.445243e+00
6.309573444801617e-02	1.446587e+00
6.407176188675216e-02	1.447944e+00
6.506288748655245e-02	1.449312e+00
6.606934480075628e-02	1.450694e+00
6.709137099553775e-02	1.452088e+00
6.812920690579270e-02	1.453496e+00
6.918309709189016e-02	1.454917e+00
7.025328989730166e-02	1.456351e+00
7.134003750712201e-02	1.457799e+00
7.244359600749534e-02	1.459261e+00
